"t","f1","f2","i","vowel","distance"
"0.661875","549.2165772186677","2208.201229991914","51.41777067150408","i","257.4178072105815"
"0.668125","499.2909414917777","2011.8905881324772","53.385965152701154","e","261.1815296242549"
"0.6743750000000001","512.5175020257541","1841.0993169966573","55.43443290033653","e","103.61681902241139"
"0.680625","512.6377291620895","1859.4240715293568","57.192470686952426","e","122.06180069144625"
"0.686875","446.45197274333344","1803.672985700055","57.90375740774473","e","7.221012956721609"
"0.693125","378.90922065955533","1824.464506751091","59.305691257178324","e","95.55528609153566"
"0.699375","359.09830119307105","1906.6387899450342","61.169640126796","e","197.54048875196315"
"0.7056250000000001","387.00320646755347","1795.8581288373728","62.90762729100187","e","67.13866469507377"
"0.711875","400.96260394154274","1676.1345554212187","63.80231006068042","e","172.90284063723857"
"0.718125","395.63945655930564","1672.0517446996005","63.93149349583081","e","182.30879874109388"
"0.724375","431.5476630812974","1407.9899436681708","64.00222838497717","a","326.4422805868734"
"0.730625","462.9586465601018","1226.9448451072167","64.39873065021754","o","239.90349166731846"
"0.7368750000000001","439.72901878060964","1359.4860490423835","65.24713577224927","a","269.7570302617738"
"0.743125","423.70070310029223","1515.1239571705403","66.31557675539973","e","311.1753397291675"
"0.749375","436.4431770059625","1632.3466574358285","67.39963822537861","e","181.21016555820893"
"0.755625","444.7707733764097","1615.8971768905737","68.34750229404982","e","189.33204973301656"
"0.761875","449.82377439661866","1543.0199933955105","69.01479163350643","e","257.15623220787086"
"0.7681250000000001","459.28104194293155","1471.5606183662082","69.30814471388942","e","337.7204235767233"
"0.774375","460.7680544239438","1400.1057139601166","69.34488284844544","a","289.33765953617285"
"0.780625","450.7181861181641","1416.399599454364","69.30188795942712","a","315.68141333619997"
"0.786875","437.58225972362845","1469.3412249361784","69.1922699995691","e","343.07651534019317"
"0.793125","425.26485503475806","1461.8925524071142","69.04340533274467","e","362.84259255812776"
"0.7993750000000001","415.0748699983408","1486.6431043045793","68.92680781942518","e","348.2820256970799"
"0.805625","409.5360340303922","1523.568179290424","68.85489153390219","e","316.89578667918374"
"0.811875","403.0889117296176","1519.1964245282347","68.77515212476916","e","327.71466374214765"
"0.818125","393.5127126698336","1525.3093214413857","68.64986864327896","e","331.1779658887807"
"0.824375","386.84829001078367","1518.3161643096169","68.43179174364681","e","344.8355456795995"
"0.8306250000000001","372.77101822278223","1518.740561967196","68.03638453054008","e","358.4884198100217"
"0.836875","346.1937150391384","1556.6697759474046","67.25396042844066","e","347.13650901345704"
"0.843125","333.27360247591014","1647.5479877038874","66.01736444538757","e","269.17840982020243"
"0.849375","369.03723666727313","1748.9541015557738","64.30722302924379","e","132.00866177695303"
"0.855625","449.1309761892277","1778.7563835134742","62.14500143850909","e","22.11264029729807"
"0.8618750000000001","602.9801733578477","1664.8977300446584","59.53357710842305","e","288.0824433131893"
"0.868125","760.2569853351042","1610.6812003827276","56.80134512665036","a","420.93818571783186"
"0.874375","850.084402072084","1632.0898550319428","54.63192293961379","a","532.1742571040268"
"0.880625","867.3454486230396","1571.240564532786","53.69316592016066","a","488.58601315582564"
"0.886875","796.0399951291029","1586.2477000736333","54.4463045544272","a","432.28769520273613"
"0.8931250000000001","727.1682985290884","1689.1957969188602","55.1848242996471","e","387.97250161022816"
"0.899375","672.2724369822962","1778.6698163488838","55.637745005438944","e","243.60262063341236"
"0.905625","659.4004902669847","1811.6476495614759","55.79581095274028","e","221.04813982846053"
"0.911875","716.6074371970785","1814.984641991679","55.80789583980842","e","281.59207918875745"
"0.918125","750.1257312986387","1840.9466321645434","55.65676133816227","e","341.0723634631821"
"0.9243750000000001","792.1185267694777","1841.9127311269717","55.244437681340656","e","384.03125789644946"
"0.930625","914.611401929513","1803.756590707374","54.50421954497707","e","468.36799263688704"
"0.936875","949.6554188010933","1748.0097166709168","53.62090924987922","e","551.6457021301766"
